name,meaning,gender
Ishrujit,Victory,Girl
Ditajit,Divine,Girl
Galoav,Victory,Boy
Ommapreet,Joy,Boy
Galait,Wisdom,Girl
Anshiit,Brilliance,Boy
Vikajit,Light,Girl
Naparaj,Strength,Boy
Arnaita,Blessing,Boy
Shanaansh,Strength,Girl
Zamajit,Prosperity,Girl
Danin,Hope,Boy
Sushideep,Peace,Boy
Dashiansh,Prosperity,Boy
Chaniansh,Faith,Boy
Aydiya,Light,Girl
Harideep,Energy,Boy
Ishriika,Strength,Boy
Zaruit,Brilliance,Boy
Bhtaansh,Harmony,Boy
Rimin,Grace,Boy
Aaruit,Blessing,Girl
Triviya,Hope,Girl
Ashsaav,Energy,Boy
Padiav,Wisdom,Boy
Omkaraj,Light,Girl
Riyaika,Wisdom,Girl
Janiveer,Energy,Boy
Ayriesh,Wisdom,Girl
Kalaraj,Light,Boy
Damian,Victory,Boy
Matadeep,Harmony,Boy
Prashiansh,Blessing,Boy
Suvaa,Faith,Girl
Shivait,Peace,Boy
Aarvideep,Peace,Girl
Zamaesh,Strength,Boy
Bamaraj,Strength,Boy
Ganeans,Divine,Boy
Bhmia,Light,Boy
Aayapreet,Peace,Boy
Rirudeep,Love,Girl
Arshiay,Kindness,Girl
Zatadev,Joy,Girl
Kamian,Wisdom,Boy
Anraesh,Divine,Boy
Sumaraj,Joy,Girl
Ayruansh,Blessing,Girl
Gapajit,Victory,Girl
Hanan,Wisdom,Boy
Avloav,Peace,Girl
Ganeita,Love,Girl
Triloita,Peace,Boy
Banadeep,Prosperity,Boy
Manajit,Courage,Boy
Praviya,Wisdom,Girl
Kalajit,Victory,Boy
Ayvian,Faith,Girl
Rinaan,Energy,Girl
Bhvin,Energy,Boy
Banaesh,Courage,Girl
Aymadev,Joy,Girl
Vavaita,Peace,Girl
Ashshiit,Victory,Boy
Gataveer,Prosperity,Girl
Gadiika,Hope,Girl
Hasapreet,Energy,Boy
Aadideep,Courage,Girl
Virideep,Joy,Boy
Pranin,Peace,Girl
Triloay,Divine,Girl
Ankaa,Love,Boy
Diloans,Joy,Girl
Aalodev,Energy,Boy
Baloika,Victory,Girl
Baraay,Kindness,Girl
Ashpaya,Grace,Girl
Layadev,Grace,Boy
Anloav,Courage,Girl
Bataesh,Victory,Girl
Aypan,Hope,Boy
Ashshians,Brilliance,Girl
Avniveer,Courage,Girl
Prakaans,Courage,Boy
Mayaansh,Light,Girl
Ommidev,Blessing,Boy
Sunipreet,Wisdom,Girl
Omtaa,Hope,Boy
Triloansh,Grace,Girl
Marua,Energy,Boy
Kimijit,Light,Boy
Shamiya,Love,Boy
Kasaita,Hope,Girl
Ayrupreet,Blessing,Boy
Viloan,Harmony,Girl
Danaansh,Peace,Girl
Dakadeep,Love,Girl
Aymiansh,Energy,Girl
Shinaya,Hope,Boy
Japaita,Wisdom,Boy
Sutadeep,Joy,Girl
Zadiali,Divine,Girl
Praraa,Strength,Boy
Ramiay,Energy,Girl
Vataita,Light,Girl
Ayvian,Strength,Boy
Shakadev,Grace,Boy
Pashiav,Hope,Boy
Yanijit,Energy,Boy
Nalan,Courage,Girl
Damiesh,Brilliance,Girl
Damaan,Joy,Boy
Janaika,Grace,Girl
Lataan,Faith,Girl
Bhtaita,Blessing,Girl
Shanaesh,Brilliance,Boy
Yasadeep,Love,Girl
Daniveer,Victory,Boy
Arrians,Love,Boy
Praradev,Hope,Girl
Ritajit,Blessing,Girl
Lanin,Blessing,Boy
Demiika,Strength,Boy
Nataita,Love,Girl
Adimait,Faith,Girl
Raniav,Harmony,Girl
Pranepreet,Wisdom,Girl
Haviesh,Peace,Boy
Zanadeep,Courage,Boy
Ashriav,Wisdom,Girl
Jakaansh,Strength,Boy
Chataesh,Peace,Boy
Kiruansh,Grace,Girl
Visaveer,Peace,Girl
Praloika,Energy,Girl
Kanaay,Prosperity,Girl
Prashiya,Grace,Boy
Baloav,Faith,Boy
Bamaa,Light,Boy
Ashsaika,Energy,Boy
Omyajit,Brilliance,Girl
Zamaay,Faith,Boy
Tataveer,Love,Girl
Aylopreet,Kindness,Boy
Zalaveer,Hope,Boy
Saviita,Victory,Girl
Palodeep,Divine,Girl
Kashiay,Divine,Boy
Havapreet,Harmony,Boy
Gaviraj,Hope,Girl
Panidev,Peace,Girl
Shilaansh,Prosperity,Boy
Vivan,Victory,Boy
Salan,Prosperity,Boy
Viniay,Blessing,Boy
Rimaya,Harmony,Boy
Varuesh,Grace,Girl
Prataav,Harmony,Boy
Anmiesh,Blessing,Girl
Avshiay,Peace,Boy
Kadiay,Blessing,Girl
Adishin,Victory,Girl
Pavait,Light,Girl
Rimaav,Courage,Girl
Shinaans,Harmony,Girl
Daran,Joy,Girl
Arnedev,Joy,Girl
Zanaita,Harmony,Boy
Bhnaansh,Energy,Girl
Vavan,Wisdom,Boy
Kimaika,Courage,Boy
Galaay,Hope,Boy
Aarneita,Faith,Girl
Baneika,Wisdom,Boy
Kineans,Kindness,Boy
Tripadeep,Peace,Girl
Omnin,Harmony,Boy
Kipaya,Victory,Girl
Sataans,Brilliance,Boy
Susaan,Divine,Boy
Ashtaans,Faith,Boy
Avnipreet,Harmony,Girl
Deyaya,Strength,Girl
Shishiveer,Faith,Boy
Bhkaali,Light,Girl
Vivaans,Faith,Boy
Yaniay,Courage,Girl
Chanidev,Peace,Girl
Aynin,Hope,Boy
Aryait,Blessing,Boy
Mataay,Faith,Boy
Paraans,Hope,Girl
Zataveer,Wisdom,Boy
Dishiya,Energy,Girl
Ashnaan,Brilliance,Girl
Kiraesh,Faith,Boy
Sharun,Grace,Boy
Ayshideep,Blessing,Boy
Saviita,Courage,Girl
Devaveer,Love,Boy
Suneya,Joy,Boy
Adidians,Peace,Boy
Avmiesh,Hope,Boy
Salaesh,Kindness,Girl
Rapadev,Kindness,Girl
Vimaa,Courage,Boy
Jaradev,Victory,Girl
Lanin,Peace,Girl
Ayvadev,Joy,Boy
Larapreet,Joy,Girl
Ishnejit,Energy,Girl
Shimadeep,Love,Boy
Aarnait,Divine,Boy
Bhvaav,Courage,Girl
Chaloraj,Peace,Girl
Avsait,Joy,Boy
Saviav,Brilliance,Girl
Ardijit,Energy,Boy
Anpaav,Faith,Girl
Triyaans,Strength,Girl
Lamaay,Divine,Girl
Aryaesh,Hope,Boy
Shikaav,Prosperity,Boy
Supadev,Victory,Girl
Rivian,Harmony,Boy
Shayaa,Grace,Girl
Ishloita,Blessing,Boy
Jamiya,Blessing,Boy
Shadiali,Wisdom,Girl
Hariansh,Blessing,Girl
Bhkaveer,Wisdom,Boy
Chaviya,Victory,Girl
Omshiay,Wisdom,Girl
Laviansh,Prosperity,Boy
Bhlait,Peace,Boy
Omshiay,Wisdom,Boy
Aanaan,Peace,Girl
Shakaita,Peace,Boy
Bhdiika,Wisdom,Boy
Jaraesh,Grace,Girl
Adishian,Divine,Boy
Anviika,Joy,Girl
Balaans,Harmony,Boy
Bhneali,Victory,Girl
Ayvia,Hope,Girl
Shataav,Blessing,Girl
Kaniit,Divine,Girl
Haniika,Love,Boy
Shamaan,Light,Girl
Suviika,Grace,Boy
Manaya,Kindness,Girl
Varia,Peace,Girl
Tamaansh,Love,Girl
Bapadev,Divine,Girl
Ishyaveer,Peace,Boy
Anruya,Strength,Girl
Aymaika,Hope,Boy
Larudeep,Victory,Boy
Damiali,Energy,Girl
Gaviika,Peace,Girl
Demin,Light,Boy
Haniali,Love,Girl
Zavijit,Hope,Girl
Rasaan,Kindness,Girl
Kisan,Love,Girl
Darujit,Blessing,Boy
Haloraj,Kindness,Girl
Nayaraj,Victory,Boy
Diriika,Energy,Boy
Yaviali,Light,Girl
Lararaj,Strength,Boy
Karaay,Peace,Boy
Ashviita,Blessing,Girl
Zakaan,Kindness,Girl
Kiyapreet,Courage,Boy
Chakaay,Blessing,Girl
Ripaesh,Wisdom,Boy
Chadiay,Faith,Boy
Sutaesh,Light,Boy
Nashiali,Strength,Boy
Dariav,Grace,Girl
Paraa,Faith,Boy
Ashdiali,Prosperity,Boy
Suradeep,Joy,Girl
Janaita,Victory,Boy
Parin,Brilliance,Boy
Kinaika,Courage,Boy
Dinin,Wisdom,Boy
Nadiita,Wisdom,Boy
Lanidev,Wisdom,Boy
Prayan,Grace,Boy
Vavipreet,Brilliance,Boy
Naruraj,Faith,Girl
Zaneika,Prosperity,Boy
Shinaita,Harmony,Boy
Bhnia,Joy,Girl
Shinedeep,Strength,Girl
Karaya,Prosperity,Boy
Suniya,Light,Girl
Viviika,Victory,Boy
Kakaika,Light,Boy
Vanidev,Harmony,Boy
Yasaa,Victory,Girl
Saneita,Strength,Boy
Dataansh,Harmony,Girl
Charait,Strength,Boy
Yakaa,Hope,Girl
Ayviit,Love,Girl
Andians,Prosperity,Girl
Ishshijit,Divine,Boy
Ompan,Strength,Girl
Bhdiesh,Light,Girl
Sunapreet,Wisdom,Boy
Ashyaesh,Wisdom,Boy
Annapreet,Blessing,Girl
Deniansh,Faith,Boy
Gapaay,Strength,Girl
Maneika,Strength,Boy
Radin,Harmony,Girl
Denaya,Victory,Girl
Vasaita,Joy,Boy
Prasapreet,Joy,Girl
Prataans,Kindness,Girl
Shipapreet,Courage,Boy
Zalon,Faith,Girl
Halodeep,Blessing,Girl
Sakadeep,Grace,Boy
Jashijit,Courage,Girl
Bhnijit,Prosperity,Girl
Kapan,Courage,Girl
Saviya,Joy,Boy
Anmia,Prosperity,Boy
Bhpaali,Victory,Boy
Ganajit,Courage,Boy
Annaan,Hope,Boy
Tanapreet,Wisdom,Boy
Namaans,Love,Girl
Masaav,Hope,Girl
Arvideep,Hope,Girl
Ishsaita,Peace,Girl
Dimaay,Victory,Girl
Arniesh,Strength,Boy
Gataraj,Joy,Girl
Diruans,Harmony,Girl
Derun,Victory,Boy
Deriya,Grace,Girl
Naneita,Love,Girl
Aaruan,Peace,Girl
Avlaav,Divine,Girl
Trimians,Light,Girl
Gariveer,Joy,Girl
Vanians,Brilliance,Boy
Ashrudeep,Brilliance,Girl
Adipaansh,Wisdom,Boy
Rineit,Strength,Girl
Lamaraj,Blessing,Girl
Lavaali,Hope,Boy
Tavaika,Divine,Girl
Kapaika,Prosperity,Girl
Ashkaansh,Divine,Boy
Yaloav,Blessing,Boy
Deneesh,Brilliance,Boy
Trirua,Faith,Boy
Deraa,Energy,Boy
Omruraj,Prosperity,Boy
Sumiraj,Energy,Girl
Ashriya,Blessing,Girl
Nalaali,Love,Boy
Ripaali,Brilliance,Girl
Vamiali,Peace,Boy
Baraav,Harmony,Boy
Shadiali,Wisdom,Boy
Viviraj,Energy,Boy
Delodeep,Energy,Girl
Chapaya,Victory,Boy
Deviay,Joy,Boy
Praviali,Wisdom,Boy
Aarnejit,Grace,Boy
Aarpaav,Wisdom,Boy
Divians,Hope,Girl
Vimiraj,Energy,Boy
Zatan,Light,Girl
Triridev,Peace,Girl
Viruya,Kindness,Boy
Aaran,Brilliance,Boy
Arradev,Prosperity,Boy
Adineraj,Prosperity,Boy
Dikaita,Kindness,Girl
Adiruans,Strength,Girl
Adisaveer,Light,Girl
Arloali,Courage,Boy
Chalodev,Faith,Girl
Hanin,Faith,Girl
Dishian,Grace,Boy
Bhridev,Prosperity,Boy
Kakaveer,Courage,Girl
Pakaita,Blessing,Boy
Padiraj,Prosperity,Boy
Rimiesh,Faith,Girl
Japan,Blessing,Boy
Sharaita,Strength,Boy
Trikaans,Strength,Boy
Rineay,Blessing,Boy
Ishshiveer,Energy,Boy
Shirait,Wisdom,Girl
Lavaansh,Prosperity,Girl
Arran,Kindness,Boy
Javiali,Faith,Girl
Sakaa,Kindness,Girl
Ashriay,Grace,Boy
Rivaraj,Courage,Girl
Aarnaesh,Brilliance,Boy
Yamaan,Energy,Girl
Jadijit,Grace,Boy
Anloika,Strength,Girl
Vashians,Faith,Boy
Aarlaali,Hope,Girl
Aypaav,Faith,Boy
Shisaansh,Grace,Boy
Yasaansh,Joy,Girl
Aarvaan,Peace,Girl
Vilodeep,Wisdom,Girl
Tataraj,Strength,Girl
Ishniesh,Blessing,Girl
Raparaj,Faith,Girl
Armia,Joy,Boy
Aymiali,Courage,Girl
Ishniveer,Grace,Boy
Ririesh,Wisdom,Girl
Sarideep,Kindness,Girl
Hataika,Courage,Girl
Ishdijit,Blessing,Girl
Arlodeep,Energy,Boy
Triviraj,Victory,Boy
Chadijit,Grace,Boy
Raviali,Peace,Girl
Gamapreet,Courage,Girl
Jarijit,Brilliance,Boy
Shamaita,Strength,Girl
Shakan,Blessing,Girl
Larupreet,Harmony,Boy
Sariav,Prosperity,Boy
Taniav,Faith,Boy
Arridev,Courage,Boy
Vikan,Kindness,Boy
Ditaa,Energy,Girl
Havidev,Energy,Boy
Adimaita,Joy,Boy
Vamajit,Energy,Boy
Parin,Peace,Boy
Tayaika,Light,Boy
Naraan,Peace,Boy
Shishiesh,Peace,Boy
Sumajit,Peace,Girl
Prashiansh,Brilliance,Girl
Chalaans,Brilliance,Girl
Zaladev,Brilliance,Boy
Sanan,Harmony,Boy
Detadev,Hope,Boy
Tasaesh,Energy,Girl
Anman,Courage,Boy
Bataa,Harmony,Boy
Shishijit,Divine,Boy
Trivadeep,Divine,Boy
Yaloika,Grace,Girl
Susadev,Joy,Girl
Trinaali,Strength,Boy
Ranaya,Strength,Boy
Aypaya,Joy,Boy
Armiika,Energy,Girl
Lasaav,Joy,Girl
Sunideep,Kindness,Boy
Zavapreet,Prosperity,Boy
Vaviika,Energy,Girl
Arruita,Love,Boy
Tanadeep,Joy,Girl
Praneesh,Hope,Boy
Divijit,Peace,Boy
Hakapreet,Brilliance,Boy
Ditapreet,Courage,Boy
Ayshin,Strength,Girl
Vashipreet,Faith,Boy
Vitait,Love,Girl
Naviveer,Peace,Girl
Bakaya,Peace,Boy
Nanaay,Strength,Boy
Dadipreet,Divine,Boy
Yashiav,Victory,Boy
Kadideep,Divine,Boy
Maruali,Faith,Boy
Dadijit,Prosperity,Girl
Bhyajit,Faith,Boy
Omnait,Wisdom,Boy
Denea,Joy,Girl
Arkaav,Grace,Girl
Marapreet,Prosperity,Girl
Kanideep,Victory,Girl
Pravaya,Blessing,Boy
Omman,Brilliance,Boy
Aalaali,Peace,Girl
Prarudev,Energy,Boy
Bhmiay,Light,Girl
Sunaay,Love,Boy
Yaridev,Faith,Girl
Sanaan,Light,Girl
Zalodev,Harmony,Girl
Ishriveer,Light,Girl
Trishiav,Hope,Girl
Savaa,Prosperity,Girl
Mamiveer,Harmony,Girl
Ayviit,Blessing,Boy
Ashlaveer,Divine,Girl
Chayaav,Faith,Boy
Papadev,Strength,Girl
Vitaika,Wisdom,Girl
Aaniesh,Courage,Boy
Charait,Hope,Boy
Omruav,Grace,Boy
Omraan,Joy,Girl
Panaesh,Hope,Girl
Zaruali,Divine,Boy
Baran,Peace,Girl
Namaans,Grace,Girl
Gasaay,Strength,Boy
Aarnaya,Peace,Boy
Deyaya,Energy,Boy
Aytan,Wisdom,Boy
Diyadeep,Blessing,Girl
Adirijit,Joy,Boy
Bataita,Energy,Girl
Virait,Brilliance,Girl
Tritaansh,Hope,Girl
Valoa,Light,Boy
Ishloa,Strength,Girl
Avvaya,Hope,Boy
Didiita,Prosperity,Boy
Nanaav,Courage,Boy
Aarmaan,Blessing,Boy
Aarshiay,Faith,Boy
Hadipreet,Energy,Girl
Kinadeep,Faith,Boy
Ishshian,Joy,Girl
Avneit,Strength,Boy
Aalaay,Love,Girl
Raviav,Wisdom,Boy
Aanadeep,Victory,Boy
Aanapreet,Joy,Girl
Naviya,Brilliance,Boy
Zapaika,Love,Girl
Susait,Faith,Boy
Adimaika,Harmony,Girl
Zashiay,Divine,Girl
Ripan,Faith,Boy
Shisaveer,Hope,Boy
Layadeep,Courage,Girl
Desaali,Love,Girl
Aynapreet,Brilliance,Girl
Shidiay,Hope,Boy
Hamiav,Energy,Girl
Omnidev,Harmony,Girl
Gamideep,Divine,Boy
Shisajit,Light,Girl
Japaay,Strength,Boy
Jadiika,Kindness,Boy
Aykadev,Kindness,Boy
Prakaa,Strength,Girl
Aayaa,Courage,Girl
Tritaraj,Courage,Boy
Sharuav,Wisdom,Girl
Lanian,Light,Boy
Nakajit,Brilliance,Girl
Kiviesh,Divine,Girl
Maviav,Energy,Girl
Delaali,Peace,Boy
Pasaika,Hope,Girl
Avtaraj,Hope,Girl
Deshiya,Kindness,Girl
Kimaya,Divine,Girl
Avpaav,Grace,Girl
Ditaan,Peace,Boy
Parapreet,Hope,Boy
Pranijit,Divine,Boy
Zasaansh,Courage,Boy
Pasaay,Wisdom,Girl
Lakaya,Prosperity,Boy
Triniav,Grace,Boy
Sudiita,Peace,Girl
Vamians,Prosperity,Boy
Shimiya,Joy,Boy
Garupreet,Faith,Boy
Ishlaya,Love,Boy
Kidiay,Kindness,Boy
Gadijit,Prosperity,Girl
Aadiesh,Light,Boy
Vinipreet,Divine,Girl
Triniraj,Faith,Girl
Bavin,Wisdom,Boy
Gamadev,Faith,Girl
Pakaali,Harmony,Girl
Aynaika,Peace,Girl
Halaav,Blessing,Boy
Mataav,Wisdom,Girl
Tamaya,Grace,Boy
Chanaika,Harmony,Boy
Shinaya,Love,Girl
Anshiit,Victory,Boy
Janaali,Blessing,Boy
Deruans,Faith,Girl
Anviansh,Kindness,Girl
Dashiveer,Joy,Boy
Armadeep,Victory,Boy
Omlaa,Victory,Boy
Aarnidev,Brilliance,Boy
Aarruit,Light,Boy
Disaansh,Joy,Boy
Avlodeep,Love,Girl
Pradiav,Joy,Boy
Aataan,Blessing,Boy
Laridev,Courage,Boy
Kasaraj,Hope,Boy
Chaloa,Strength,Girl
Lamaay,Victory,Girl
Mataansh,Blessing,Girl
Dilapreet,Faith,Girl
Vaviya,Blessing,Boy
Viyaraj,Energy,Boy
Ramaali,Light,Girl
Aaneraj,Kindness,Boy
Avsapreet,Joy,Boy
Ashraraj,Blessing,Boy
Nalaita,Energy,Boy
Shalait,Strength,Boy
Makaan,Wisdom,Girl
Dadian,Victory,Girl
Aapaan,Grace,Girl
Sapadev,Energy,Boy
Rariav,Strength,Boy
Ishnaav,Blessing,Girl
Yalojit,Blessing,Boy
Anloan,Brilliance,Girl
Aarlaesh,Joy,Girl
Kadiveer,Blessing,Girl
Paniit,Love,Boy
Sadiika,Divine,Boy
Vaniay,Wisdom,Boy
Shalodev,Kindness,Girl
Bhlaav,Harmony,Boy
Tasadeep,Harmony,Girl
Ayrun,Harmony,Girl
Aymipreet,Courage,Boy
Barapreet,Joy,Boy
Naneesh,Love,Girl
Satadeep,Harmony,Girl
Ishnideep,Divine,Girl
Prapajit,Faith,Girl
Sarajit,Energy,Girl
Andidev,Peace,Girl
Kivaika,Peace,Girl
Trirideep,Love,Girl
Tavipreet,Hope,Girl
Tririans,Blessing,Girl
Gaviay,Wisdom,Girl
Rariesh,Blessing,Boy
Aydia,Victory,Boy
Adiniay,Wisdom,Boy
Bamait,Harmony,Boy
Vipaveer,Blessing,Boy
Baman,Hope,Boy
Devadev,Courage,Girl
Sakaesh,Peace,Girl
Risaya,Love,Boy
Arraveer,Peace,Boy
Ashsajit,Courage,Girl
Aashiraj,Wisdom,Girl
Pamiya,Brilliance,Girl
Kanedeep,Prosperity,Girl
Taviita,Grace,Girl
Avtaan,Faith,Boy
Shilaesh,Blessing,Boy
Anriit,Brilliance,Boy
Viyaya,Kindness,Boy
Gamia,Prosperity,Boy
Omrajit,Victory,Girl
Bhruveer,Victory,Boy
Raneika,Victory,Boy
Gataika,Kindness,Girl
Gamapreet,Joy,Boy
Pamaans,Grace,Girl
Daraya,Wisdom,Girl
Vimians,Divine,Boy
Jarajit,Brilliance,Girl
Galoita,Peace,Boy
Aamaansh,Prosperity,Girl
Avsaansh,Courage,Girl
Shitaesh,Kindness,Boy
Aarneali,Faith,Girl
Radiveer,Divine,Girl
Adilojit,Faith,Boy
Arvijit,Divine,Boy
Vanan,Peace,Boy
Anmaya,Brilliance,Boy
Adinadev,Kindness,Boy
Prasaa,Love,Girl
Danean,Light,Girl
Aardideep,Faith,Boy
Shanaraj,Energy,Girl
Devaans,Joy,Boy
Natadeep,Energy,Girl
Kilaesh,Grace,Girl
Kipaika,Strength,Boy
Lamian,Courage,Boy
Garaali,Faith,Girl
Kakapreet,Harmony,Girl
Kipaveer,Peace,Boy
Janaya,Joy,Girl
Rishiav,Light,Boy
Adiviraj,Hope,Boy
Ralopreet,Wisdom,Girl
Taviesh,Hope,Boy
Bhshiansh,Peace,Boy
Bhmians,Brilliance,Boy
Kivipreet,Strength,Boy
Desaika,Peace,Boy
Diruraj,Peace,Boy
Varuan,Blessing,Girl
Aarlaraj,Courage,Girl
Aayaali,Blessing,Boy
Anlaa,Love,Boy
Valaika,Joy,Girl
Shapadev,Courage,Boy
Kaviali,Divine,Boy
Arshiali,Wisdom,Boy
Samadeep,Faith,Boy
Kaloansh,Grace,Girl
Dapaay,Blessing,Girl
Aataali,Wisdom,Girl
Vaviay,Faith,Boy
Pamaansh,Joy,Boy
Anladeep,Love,Boy
Sukaveer,Hope,Boy
Dilaraj,Harmony,Girl
Rivian,Strength,Boy
Yanin,Divine,Boy
Maruveer,Love,Girl
Makapreet,Grace,Boy
Sanadev,Energy,Girl
Desadeep,Courage,Boy
Aaloa,Light,Boy
Yamiika,Harmony,Girl
Daniita,Wisdom,Girl
Shanin,Faith,Girl
Visaraj,Peace,Boy
Shaniit,Grace,Girl
Kidijit,Joy,Girl
Aarsaya,Faith,Boy
Hataan,Kindness,Boy
Ashneans,Peace,Girl
Radian,Joy,Boy
Chaloita,Victory,Boy
Chalopreet,Divine,Boy
Nanaita,Hope,Girl
Arpaav,Prosperity,Boy
Suyaans,Hope,Boy
Suvaita,Strength,Girl
Valoya,Brilliance,Girl
Ishrapreet,Strength,Girl
Avmiav,Blessing,Girl
Sarun,Blessing,Girl
Jasapreet,Kindness,Girl
Triyait,Courage,Boy
Samijit,Brilliance,Boy
Bhnepreet,Hope,Girl
Triyaav,Prosperity,Boy
Naniit,Blessing,Boy
Havian,Wisdom,Boy
Ishniya,Peace,Boy
Supaay,Light,Boy
Rarujit,Wisdom,Boy
Lalait,Wisdom,Girl
Avvaay,Harmony,Girl
Prayaansh,Blessing,Boy
Gakaay,Peace,Girl
Yataansh,Peace,Girl
Gavijit,Victory,Girl
Lanaveer,Light,Boy
Paraika,Prosperity,Girl
Janaita,Joy,Boy
Arrijit,Harmony,Boy
Ishparaj,Energy,Boy
Diparaj,Peace,Boy
Maviita,Light,Girl
Aarradeep,Courage,Boy
Gayaita,Kindness,Boy
Lasapreet,Energy,Girl
Nanaa,Love,Boy
Banepreet,Harmony,Boy
Prapait,Kindness,Girl
Adisaav,Love,Boy
Anvaraj,Hope,Girl
Rapaav,Victory,Girl
Dinipreet,Love,Girl
Lamaans,Strength,Girl
Sumia,Light,Girl
Aarmiesh,Wisdom,Girl
Demaraj,Blessing,Girl
Zaman,Kindness,Girl
Chavajit,Divine,Boy
Vavipreet,Faith,Boy
Aataali,Peace,Boy
Depaika,Hope,Boy
Vinan,Brilliance,Girl
Shasapreet,Light,Girl
Kimin,Victory,Boy
Gasaa,Peace,Girl
Avvaav,Strength,Girl
Karaay,Divine,Girl
Sukaali,Brilliance,Boy
Aarloit,Blessing,Girl
Mataika,Kindness,Boy
Yariika,Grace,Girl
Anlodev,Peace,Girl
Ashvajit,Courage,Boy
Jayaan,Love,Girl
Paraav,Hope,Girl
Shiloansh,Blessing,Girl
Ishtait,Courage,Girl
Zataa,Faith,Boy
Aypaan,Love,Boy
Papaay,Wisdom,Girl
Sumiansh,Brilliance,Girl
Pavin,Kindness,Boy
Dashijit,Victory,Boy
Aysan,Kindness,Girl
Shavaveer,Hope,Girl
Shaparaj,Kindness,Boy
Madiveer,Hope,Boy
Anvaraj,Light,Boy
Rivaay,Light,Boy
Prakaa,Courage,Girl
Jaruit,Love,Boy
Mamaali,Courage,Boy
Haruay,Hope,Boy
Ishnaraj,Light,Girl
Maniveer,Victory,Boy
Dimidev,Hope,Boy
Shilaay,Energy,Girl
Adivia,Victory,Girl
Dataansh,Wisdom,Boy
Vikaveer,Courage,Girl
Prapan,Wisdom,Boy
Aashians,Peace,Boy
Depaesh,Hope,Girl
Shinaraj,Brilliance,Boy
Artait,Courage,Girl
Zariali,Love,Boy
Triniav,Strength,Girl
Dakajit,Peace,Boy
Lamian,Grace,Girl
Sayaay,Courage,Boy
Sudiita,Peace,Girl
Kisait,Victory,Boy
Bhnejit,Courage,Girl
Ishshideep,Joy,Girl
Yataansh,Grace,Boy
Manidev,Prosperity,Girl
Shaloay,Peace,Girl
Aarsapreet,Kindness,Boy
Vivan,Wisdom,Girl
Ramiika,Harmony,Boy
Zanin,Victory,Girl
Bhviali,Peace,Girl
Garuit,Love,Girl
Japaan,Prosperity,Boy
Omraya,Blessing,Girl
Aaman,Light,Girl
Adirijit,Blessing,Boy
Ommaita,Harmony,Boy
Omshian,Love,Boy
Vaniesh,Prosperity,Girl
Ditaali,Wisdom,Boy
Viriya,Brilliance,Girl
Aarnaay,Victory,Boy
Shidiya,Energy,Boy
Sukaa,Strength,Girl
Vinaika,Peace,Girl
Yaloav,Grace,Girl
Mayaansh,Wisdom,Girl
Shadian,Prosperity,Boy
Nashin,Brilliance,Boy
Rarudev,Divine,Boy
Jasaesh,Strength,Girl
Basait,Divine,Girl
Aartaika,Peace,Girl
Deraita,Faith,Girl
Arparaj,Victory,Boy
Dilaya,Brilliance,Boy
Aarviesh,Harmony,Girl
Ranaya,Divine,Girl
Zakaita,Energy,Girl
Makaali,Harmony,Girl
Lalaansh,Prosperity,Boy
Pamaali,Love,Girl
Aarnia,Kindness,Girl
Omladev,Hope,Boy
Vamia,Grace,Girl
Avmadev,Strength,Boy
Jakadeep,Wisdom,Girl
Divaan,Courage,Boy
Tasaita,Strength,Girl
Vavaita,Brilliance,Boy
Karian,Blessing,Boy
Triniali,Harmony,Girl
Pavin,Prosperity,Boy
Ramaansh,Love,Girl
Omlaansh,Brilliance,Girl
Paloan,Peace,Girl
Aartajit,Light,Boy
Chaloika,Courage,Boy
Lanaika,Divine,Girl
Vadijit,Kindness,Boy
Delaesh,Love,Girl
Rataan,Light,Boy
Adiloraj,Grace,Boy
Gamaan,Hope,Boy
Darajit,Peace,Boy
Bapaesh,Energy,Girl
Vimin,Kindness,Boy
Omlaay,Love,Boy
Praniit,Peace,Boy
Ashmaika,Strength,Boy
Shiruika,Energy,Girl
Desaveer,Love,Girl
Samait,Harmony,Girl
Shivaans,Light,Girl
Tanaita,Divine,Boy
Aamaansh,Victory,Girl
Raloali,Courage,Boy
Disan,Victory,Boy
Dasaika,Grace,Girl
Ishparaj,Joy,Boy
Palaita,Harmony,Boy
Aarviansh,Energy,Boy
Aasaans,Harmony,Girl
Omtajit,Joy,Boy
Ganaita,Joy,Boy
Sharudev,Energy,Boy
Ishdiita,Faith,Boy
Mavian,Grace,Boy
Aaryaali,Victory,Girl
Sumaan,Harmony,Boy
Ankaita,Grace,Boy
Vivait,Victory,Boy
Haniita,Hope,Girl
Didiay,Light,Boy
Paruya,Grace,Boy
Makaay,Prosperity,Boy
Yaladeep,Energy,Girl
Dedian,Strength,Boy
Kamapreet,Wisdom,Girl
Damipreet,Strength,Girl
Kamaans,Strength,Boy
Demiika,Faith,Girl
Ishshiav,Wisdom,Girl
Viraika,Faith,Boy
Ayrajit,Faith,Boy
Ishkaesh,Divine,Boy
Napaav,Love,Boy
Saloraj,Prosperity,Boy
Shivia,Strength,Boy
Shiniraj,Brilliance,Girl
Dekapreet,Faith,Girl
Rariya,Brilliance,Boy
Paruali,Kindness,Girl
Aarvait,Faith,Boy
Lavaesh,Hope,Girl
Bhmiesh,Faith,Boy
Trikaa,Courage,Boy
Baniya,Divine,Girl
Shasapreet,Prosperity,Boy
