Name,Gender,Meaning
Barasa,Male,(Kikuyu) meeting place.
Barb,Female,(Latin) a short form of Barbara.
Barba,Female,(Latin) a short form of Barbara.
Barbaciano,Male,(Latin) full of hair.
Barbada,Female,(Arabic) blessing.
Barbara,Female,"(Latin) stranger, foreigner."
Barbarina,Female,"(Latin) stranger, foreigner."
Barbarit,Female,"(Latin) stranger, foreigner."
Barbarita,Female,"(Latin) stranger, foreigner."
Barbary,Female,"(Latin) stranger, foreigner."
Barbe,Female,(Latin) a short form of Barbara.
Barbea,Female,(American) a familiar form of Barbara.
Barbee,Female,(American) a familiar form of Barbara.
Barbeeleen,Female,"(Latin) stranger, foreigner."
Barbel,Female,"(Latin) stranger, foreigner."
Barbera,Female,"(Latin) stranger, foreigner."
Barbet,Female,"(French, German) a familiar form of Barbara."
Barbett,Female,"(French, German) a familiar form of Barbara."
Barbetta,Female,"(French, German) a familiar form of Barbara."
Barbette,Female,"(French, German) a familiar form of Barbara."
Barbey,Female,(American) a familiar form of Barbara.
Barbi,Female,(American) a familiar form of Barbara.
Barbica,Female,"(Latin) stranger, foreigner."
Barbie,Female,(American) a familiar form of Barbara.
Barbita,Female,"(French, German) a familiar form of Barbara."
Barbora,Female,"(Latin) stranger, foreigner."
Barborah,Female,"(Latin) stranger, foreigner."
Barborka,Female,"(Latin) stranger, foreigner."
Barbra,Female,(American) a form of Barbara.
Barbraa,Female,(American) a form of Barbara.
Barbraann,Female,"(Latin) stranger, foreigner."
Barbro,Female,"(Latin) stranger, foreigner."
Barby,Female,(American) a familiar form of Barbara.
Barcklae,Male,"(Scottish, English) birch-tree meadow."
Barcklaey,Male,"(Scottish, English) birch-tree meadow."
Barcklai,Male,"(Scottish, English) birch-tree meadow."
Barcklaie,Male,"(Scottish, English) birch-tree meadow."
Barclae,Male,"(Scottish, English) birch-tree meadow."
Barclaey,Male,"(Scottish, English) birch-tree meadow."
Barclai,Male,"(Scottish, English) birch-tree meadow."
Barclaie,Male,"(Scottish, English) birch-tree meadow."
Barclay,Male,"(Scottish, English) birch-tree meadow."
Barcley,Male,"(Scottish, English) birch-tree meadow."
Bard,Male,(Irish) a form of Baird.
Bardan,Male,(English) barley valley.
Barde,Male,(Irish) a form of Baird.
Barden,Male,(English) barley valley.
Bardia,Male,(Irish) a form of Baird.
Bardiya,Male,(Irish) a form of Baird.
Bardo,Male,(German) bright wolf.
Bardol,Male,(Spanish) a form of Bartholomew.
Bardolf,Male,(German) bright wolf.
Bardolfe,Male,(German) bright wolf.
Bardolph,Male,(German) bright wolf.
Bardolphe,Male,(German) bright wolf.
Bardon,Female,(Hispanic) full of hair.
Bardou,Male,(German) bright wolf.
Bardoul,Male,(German) bright wolf.
Bardric,Male,(Teutonic) axe ruler.
Bardrick,Male,(Teutonic) axe ruler.
Bardrik,Male,(Teutonic) axe ruler.
Bardryck,Male,(Teutonic) axe ruler.
Bardryk,Male,(Teutonic) axe ruler.
Bardulf,Male,(German) bright wolf.
Bardulph,Male,(German) bright wolf.
Bardyn,Male,(English) barley valley.
Barea,Female,(Irish) spear; markswoman.
Barean,Female,(Irish) top of a small hill.
Bareana,Female,(Irish) top of a small hill.
Bareane,Female,(Irish) top of a small hill.
Baree,Both,(Irish) spear; markswoman.
Bareen,Female,(Irish) top of a small hill.
Bareena,Female,(Irish) top of a small hill.
Bareenah,Female,(Irish) top of a small hill.
Bareene,Female,(Irish) top of a small hill.
Bareh,Male,(Lebanese) able.
Barein,Female,(Irish) top of a small hill.
Bareina,Female,(Irish) top of a small hill.
Bareinah,Female,(Irish) top of a small hill.
Bareine,Female,(Irish) top of a small hill.
Barem,Male,(Hebrew) lightning bolt.
Baren,Male,(Russian) ram.
Baret,Both,(German) strong as a bear.
Barett,Both,(German) strong as a bear.
Barey,Both,(Irish) spear; markswoman.
Bareyba,Female,(Irish) top of a small hill.
Bareyn,Female,(Irish) top of a small hill.
Bareynah,Female,(Irish) top of a small hill.
Bareyne,Female,(Irish) top of a small hill.
Barholomee,,
Bari,Female,(Irish) a form of Barrie.
Barie,Male,(Welsh) son of Harry.
Barika,Female,(Swahili) success.
Barikah,Female,(Swahili) success.
Barim,Male,(Hebrew) lightning bolt.
Barin,Both,(Irish) top of a small hill.
Barina,Female,(Irish) top of a small hill.
Barinah,Female,(Irish) top of a small hill.
Barine,Female,(Irish) top of a small hill.
Barion,Male,"(German, English) nobleman, baron."
Baris,Male,(Turkish) peaceful.
Barit,Both,(German) strong as a bear.
Baritt,Both,(German) strong as a bear.
Barkclay,Male,"(Scottish, English) birch-tree meadow."
Barker,Male,(English) lumberjack; advertiser at a carnival.
Barklay,Male,"(Scottish, English) birch-tree meadow."
Barklea,Male,"(Scottish, English) birch-tree meadow."
Barklee,Male,"(Scottish, English) birch-tree meadow."
Barkleigh,Male,"(Scottish, English) birch-tree meadow."
Barkley,Male,"(Scottish, English) birch-tree meadow."
Barkli,Male,"(Scottish, English) birch-tree meadow."
Barklie,Male,"(Scottish, English) birch-tree meadow."
Barkly,Male,"(Scottish, English) birch-tree meadow."
Barloe,Male,(English) bare hillside.
Barlow,Male,(English) bare hillside.
Barlowe,Male,(English) bare hillside.
Barn,Male,(French) a form of Bernard.
Barna,Male,"(Greek, Hebrew, Aramaic, Latin) son of the missionary."
Barnaba,Male,"(Greek, Hebrew, Aramaic, Latin) son of the missionary."
Barnabas,Male,"(Greek, Hebrew, Aramaic, Latin) son of the missionary."
Barnabe,Male,(French) a form of Barnabas.
Barnabee,,
Barnabey,,
Barnabi,,
Barnabie,,
Barnabus,Male,"(Greek, Hebrew, Aramaic, Latin) son of the missionary."
Barnaby,Male,(English) a form of Barnabas.
Barnard,Male,(French) a form of Bernard.
Barnardo,Male,(Spanish) a form of Bernard.
Barnebas,Male,"(Greek, Hebrew, Aramaic, Latin) son of the missionary."
Barnebus,Male,"(Greek, Hebrew, Aramaic, Latin) son of the missionary."
Barnee,Male,"(English) a familiar form of Barnabas, Barnett."
Barnes,Male,(English) bear; son of Barnett.
Barnet,Male,(English) nobleman; leader.
Barnete,Male,(English) nobleman; leader.
Barnett,Male,(English) nobleman; leader.
Barnette,Male,(English) nobleman; leader.
Barney,Male,"(English) a familiar form of Barnabas, Barnett."
Barnhard,Male,(French) a form of Bernard.
Barnhardo,Male,(French) a form of Bernard.
Barnhart,Male,(French) a form of Bernard.
Barni,Male,"(English) a familiar form of Barnabas, Barnett."
Barnibas,Male,"(Greek, Hebrew, Aramaic, Latin) son of the missionary."
Barnibus,Male,"(Greek, Hebrew, Aramaic, Latin) son of the missionary."
Barnie,Male,"(English) a familiar form of Barnabas, Barnett."
Barnum,Male,(German) barn; storage place.
Barny,Male,"(English) a familiar form of Barnabas, Barnett."
Barnybas,Male,"(Greek, Hebrew, Aramaic, Latin) son of the missionary."
Barnybus,Male,"(Greek, Hebrew, Aramaic, Latin) son of the missionary."
Barom,Male,(Hebrew) lightning bolt.
Baron,Male,"(German, English) nobleman, baron."
Baroncio,Male,(Latin) clumsy.
Baronet,Male,(English) nobleman; leader.
Baronett,Male,(English) nobleman; leader.
Baronie,Male,"(German, English) nobleman, baron."
Barr,Male,(Irish) a form of Baird.
Barra,Female,(Hebrew) chosen.
Barrack,Male,(Hebrew) lightning bolt.
Barrah,,
Barrak,Male,(Hebrew) lightning bolt.
Barran,Female,(Irish) top of a small hill.
Barrat,Male,(German) a form of Barrett.
Barrclay,Male,"(Scottish, English) birch-tree meadow."
Barree,Male,(Welsh) son of Harry.
Barreen,Female,(Irish) top of a small hill.
Barreena,Female,(Irish) top of a small hill.
Barreenah,Female,(Irish) top of a small hill.
Barreene,Female,(Irish) top of a small hill.
Barren,Male,(Russian) ram.
Barret,Male,(German) a form of Barrett.
Barretta,Both,(German) strong as a bear.
Barrette,Both,(German) strong as a bear.
Barrey,Male,(Welsh) son of Harry.
Barrhet,Male,(German) a form of Barrett.
Barrhett,Both,(German) strong as a bear.
Barri,Both,(Irish) spear; markswoman.
Barria,Female,(Irish) spear; markswoman.
Barriah,Female,(Irish) spear; markswoman.
Barric,Male,(English) grain farm.
Barrick,Male,(English) grain farm.
Barrie,Female,(Irish) spear; markswoman.
Barrik,Male,(English) grain farm.
Barrin,Both,(Irish) top of a small hill.
Barrina,Female,(Irish) top of a small hill.
Barrinah,Female,(Irish) top of a small hill.
Barrine,Female,(Irish) top of a small hill.
Barrington,Male,(English) fenced town.
Barrion,Male,"(German, English) a form of Baron."
Barris,Male,(Turkish) peaceful.
Barrit,Male,(German) a form of Barrett.
Barritt,Both,(German) strong as a bear.
Barrlow,Male,(English) bare hillside.
Barrlowe,Male,(English) bare hillside.
Barron,Male,"(German, English) a form of Baron."
Barrt,Male,"(Hebrew) a short form of Bartholomew, Barton."
Barrton,Male,(English) barley town; Bart’s town.
Barry,Male,(Welsh) son of Harry.
Barrya,Female,(Irish) spear; markswoman.
Barryah,Female,(Irish) spear; markswoman.
Barryn,Both,(Irish) top of a small hill.
Barryna,Female,(Irish) top of a small hill.
Barrynah,Female,(Irish) top of a small hill.
Barryne,Female,(Irish) top of a small hill.
Barrys,Male,(Turkish) peaceful.
Bart,Male,"(Hebrew) a short form of Bartholomew, Barton."
Barta,Female,(German) bright; illustrious; brilliant ruler.
Bartan,Male,(English) barley town; Bart’s town.
Barte,Male,"(Hebrew) a short form of Bartholomew, Barton."
Bartek,Male,(Hebrew) son of Talmaí.
Bartel,Male,(German) a form of Bartholomew.
Bartelemy,Male,(French) a form of Barthelemy.
Barteleus,Male,(Hebrew) son of Talmaí.
Bartelmes,Male,(Hebrew) son of Talmaí.
Barten,Male,(English) barley town; Bart’s town.
Barteo,Male,(Hebrew) son of Talmaí.
Barth,Male,(Hebrew) son of Talmaí.
Bartha,Female,(German) bright; illustrious; brilliant ruler.
Barthel,Male,(German) a form of Bartholomew.
Barthelemi,,
Barthelemy,Male,(French) a form of Bartholomew.
Bartho,Male,(Hebrew) son of Talmaí.
Barthol,Male,(German) a form of Bartholomew.
Bartholdy,Male,(German) a form of Bartholomew.
Bartholo,Male,(Hebrew) son of Talmaí.
Bartholomaus,Male,(Hebrew) son of Talmaí.
Bartholome,,
Bartholomeo,,
Bartholomeus,,
Bartholomew,Male,(Hebrew) son of Talmaí.
Bartholomieu,,
Bartholomu,,
Bartholomy,,
Bartie,Male,"(Hebrew) a short form of Bartholomew, Barton."
Bartimous,,
Bartin,Male,(English) barley town; Bart’s town.
Bartlea,Male,(English) barley meadow.
Bartlee,Male,(English) barley meadow.
Bartleigh,Male,(English) barley meadow.
Bartlet,Male,(English) a form of Bartholomew.
Bartley,Male,(English) barley meadow.
Bartli,Male,(English) barley meadow.
Bartlie,Male,(English) barley meadow.
Bartly,Male,(English) barley meadow.
Barto,Male,(Spanish) a form of Bartholomew.
Bartol,Male,(Spanish) a form of Bartholomew.
Bartola,Female,(Aramaic) she who tills the soil.
Bartoli,Male,(Spanish) a form of Bartholomew.
Bartolina,Female,(Aramaic) she who tills the soil.
Bartolo,Male,(Spanish) a form of Bartholomew.
Bartolome,,
Bartolomea,Female,(Spanish) child of Talmaí.
Bartolomeo,,
Bartolommeo,Male,(Hebrew) son of Talmaí.
Bartome,Male,(Hebrew) son of Talmaí.
Barton,Male,(English) barley town; Bart’s town.
Bartos,Male,(Spanish) a form of Bartholomew.
Bartram,Male,(English) a form of Bertram.
Barty,Male,"(Hebrew) a short form of Bartholomew, Barton."
Bartyn,Male,(English) barley town; Bart’s town.
Bartz,Male,(Hebrew) son of Talmaí.
Baruc,Male,(Hebrew) he who is blessed by God.
Baruch,Male,(Hebrew) blessed.
Baruj,Male,(Hebrew) he who is blessed by God.
Bary,Male,(Welsh) son of Harry.
Barya,Female,(Irish) spear; markswoman.
Baryah,Female,(Irish) spear; markswoman.
Baryc,Male,(English) grain farm.
Baryck,Male,(English) grain farm.
Baryk,Male,(English) grain farm.
Baryka,Female,(Swahili) success.
Barykah,Female,(Swahili) success.
Barym,Male,(Hebrew) lightning bolt.
Baryn,Male,"(German, English) nobleman, baron."
Barys,Male,(Turkish) peaceful.
Baryt,Both,(German) strong as a bear.
Barytt,Both,(German) strong as a bear.
Bas,Male,"(Greek, Latin) royal, kingly."
Basal,Male,"(Greek, Latin) royal, kingly."
Basam,Male,(Arabic) smiling.
Base,Male,"(Greek, Latin) royal, kingly."
Baseal,Male,"(Greek, Latin) royal, kingly."
Basel,Male,"(Greek, Latin) royal, kingly."
Basem,Male,(Arabic) smiling.
Basemat,Female,(Hebrew) balm.
Baset,Male,(English) little person.
Basett,Male,(English) little person.
Basha,,
Bashar,Male,"(Turkish) intelligent, discerning."
Basheer,Male,"(Turkish) intelligent, discerning."
Bashiah,Female,(Hebrew) daughter of God.
Bashir,Male,"(Turkish) intelligent, discerning."
Bashiyr,Male,"(Turkish) intelligent, discerning."
Bashya,Female,(Hebrew) daughter of God.
Bashyah,Female,(Hebrew) daughter of God.
Basia,Female,(Hebrew) daughter of God.
Basiah,Female,(Hebrew) daughter of God.
Basiana,Female,(Spanish) acute judgment.
Basiano,Male,(Latin) short and stout.
Basil,Male,"(Greek, Latin) royal, kingly."
Basile,Male,(French) a form of Basil.
Basilia,Female,"(Greek, Latin) royal; queenly."
Basiliah,Female,"(Greek, Latin) royal; queenly."
Basilie,Female,"(Greek, Latin) royal; queenly."
Basilio,Male,"(Greek, Latin) a form of Basil."
Basilius,Male,"(Greek, Latin) royal, kingly."
Basilla,Female,"(Greek, Latin) royal; queenly."
Basillah,Female,"(Greek, Latin) royal; queenly."
Basillia,Female,"(Greek, Latin) royal; queenly."
Basillie,Female,"(Greek, Latin) royal; queenly."
Basim,Male,(Arabic) smiling.
Basino,Male,"(Greek, Latin) royal, kingly."
Basir,Male,"(Turkish) intelligent, discerning."
Basistha,Male,(Indian) an ancient Indian sage.
Basit,Male,(English) little person.
Basle,Male,"(Greek, Latin) royal, kingly."
Bassam,Male,(Arabic) smiling.
Bassel,Male,"(Greek, Latin) royal, kingly."
Bassem,Male,(Arabic) smiling.
Basset,Male,(English) little person.
Bassett,Male,(English) little person.
Bassim,Male,(Arabic) smiling.
Bassit,Male,(English) little person.
Baste,Male,(German) a short form of Sebastian.
Bastet,Both,(Egyptian) Mythology: cat-headed goddess.
Bastiaan,Male,(German) a short form of Sebastian.
Bastian,Male,(German) a short form of Sebastian.
Bastiane,Male,(German) a short form of Sebastian.
Bastien,Male,(German) a short form of Sebastian.
Bastion,Male,(German) a short form of Sebastian.
Bastyan,Male,(German) a short form of Sebastian.
Bastyane,Male,(German) a short form of Sebastian.
Basudha,Male,(Indian) earth.
Basya,Female,(Hebrew) daughter of God.
Basyah,Female,(Hebrew) daughter of God.
Basyla,Female,"(Greek, Latin) royal; queenly."
Basylah,Female,"(Greek, Latin) royal; queenly."
Basyle,Female,"(Greek, Latin) royal; queenly."
Basyll,Female,"(Greek, Latin) royal; queenly."
Basylla,Female,"(Greek, Latin) royal; queenly."
Basyllah,Female,"(Greek, Latin) royal; queenly."
Basylle,Female,"(Greek, Latin) royal; queenly."
Basyr,Male,"(Turkish) intelligent, discerning."
Bat,Male,(English) a short form of Bartholomew.
Bathana,Female,(English) a combination of Beth + Ann.
Bathanea,Female,(Aramaic) a form of Bethany.
Bathaneah,Female,(Aramaic) a form of Bethany.
Bathanee,Female,(Aramaic) a form of Bethany.
Bathaney,Female,(Aramaic) a form of Bethany.
Bathani,Female,(Aramaic) a form of Bethany.
Bathania,Female,(Aramaic) a form of Bethany.
Bathaniah,Female,(Aramaic) a form of Bethany.
Bathanie,Female,(Aramaic) a form of Bethany.
Bathannee,Female,(Aramaic) a form of Bethany.
Bathanney,Female,(Aramaic) a form of Bethany.
Bathanni,Female,(Aramaic) a form of Bethany.
Bathannia,Female,(Aramaic) a form of Bethany.
Bathanniah,Female,(Aramaic) a form of Bethany.
Bathannie,Female,(Aramaic) a form of Bethany.
Bathanny,Female,(Aramaic) a form of Bethany.
Bathany,Female,(Aramaic) a form of Bethany.
Bathanya,Female,(Aramaic) a form of Bethany.
Bathenee,Female,(Aramaic) a form of Bethany.
Batheney,Female,(Aramaic) a form of Bethany.
Batheni,Female,(Aramaic) a form of Bethany.
Bathenia,Female,(Aramaic) a form of Bethany.
Batheniah,Female,(Aramaic) a form of Bethany.
Bathenie,Female,(Aramaic) a form of Bethany.
Batheny,Female,(Aramaic) a form of Bethany.
Bathia,Female,(Hebrew) daughter of God.
Bathilda,Female,(German) warrior.
Bathildah,Female,(German) warrior.
Bathilde,Female,(German) warrior.
Bathsheba,Female,(Hebrew) daughter of the oath; seventh daughter.
Bathshua,Female,(Hebrew) daughter of the oath; seventh daughter.
Bathylda,Female,(German) warrior.
Bathyldah,Female,(German) warrior.
Bathylde,Female,(German) warrior.
Batia,Female,(Hebrew) daughter of God.
Batilde,Female,(German) a form of Bathilda.
Batildis,Male,(Germanic) intrepid revolutionary.
Batini,Female,(Swahili) inner thoughts.
Batista,Female,(Latin) baptizer.
Batoul,Female,(Arabic) virgin.
Batsheva,Female,(Hebrew) daughter of the oath; seventh daughter.
Batshevah,Female,(Hebrew) daughter of the oath; seventh daughter.
Battista,Both,(Latin) baptizer.
Batya,Female,(Hebrew) daughter of God.
Baubie,Female,(American) a familiar form of Barbara.
Baudier,Male,(Scandinavian) bald.
Baudilia,Female,(Teutonic) audacious and brave.
Baudilio,Male,(Teutonic) he who is brave and valiant.
Baudoin,Male,(German) bold friend.
Baudoiun,Male,(German) bold friend.
Baudric,Male,(German) brave ruler.
Baul,Male,(Gypsy) snail.
Baulder,Male,(Scandinavian) bald.
Baumar,Male,(German) bold; famous.
Baumer,Male,(German) bold; famous.
Bauterio,Male,(Germanic) heroic army.
Baval,Male,(Gypsy) wind; air.
Bavel,Male,(Gypsy) wind; air.
Bavil,Male,(Gypsy) wind; air.
Bavol,Male,(Gypsy) wind; air.
Bavyl,Male,(Gypsy) wind; air.
Bax,Male,(English) a form of Baker.
Baxie,Male,(English) a form of Baker.
Baxter,Male,(English) a form of Baker.
Baxty,Male,(English) a form of Baker.
Baxy,Male,(English) a form of Baker.
Bay,Male,(Vietnamese) seventh son.
Bayard,Male,(English) reddish brown hair.
Bayardo,Male,(English) reddish brown hair.
Bayden,Male,(German) bather.
Baydon,Male,(German) bather.
Baye,Male,(Vietnamese) seventh son.
Bayerd,Male,(English) reddish brown hair.
Bayl,Male,(Indian) another name for the Hindu god Kartikeya.
Bayla,Female,(English) forms of Bailey.
Bayle,Both,(English) forms of Bailey.
Baylea,Female,(English) forms of Bailey.
Bayleah,Female,(English) forms of Bailey.
Baylei,Female,(English) forms of Bailey.
Bayleigh,Female,(English) forms of Bailey.
Baylen,Male,(Hindi) mighty soldier.
Bayli,Female,(English) forms of Bailey.
Baylia,Female,(English) forms of Bailey.
Bayliah,Female,(English) forms of Bailey.
Baylie,Female,(English) forms of Bailey.
Bayliee,Female,(English) forms of Bailey.
Bayliegh,Female,(English) forms of Bailey.
Baylin,Male,(Hindi) mighty soldier.
Baylon,Male,(Hindi) mighty soldier.
Baylor,Male,(American) a private university in Texas.
Bayly,Both,(English) forms of Bailey.
Bayn,Male,(Irish) a short form of Bainbridge.
Baynbridge,Male,(Irish) fair bridge.
Bayne,Male,(Irish) a short form of Bainbridge.
Baynebridge,Male,(Irish) fair bridge.
Baynn,Male,(Irish) a short form of Bainbridge.
Bayo,Female,(Yoruba) joy is found.
Bayrd,Male,"(Irish) traveling minstrel, bard; poet."
Bayrdan,Male,(English) barley valley.
Bayrde,Male,"(Irish) traveling minstrel, bard; poet."
Bayrden,Male,(English) barley valley.
Bayrdin,Male,(English) barley valley.
Bayrdon,Male,(English) barley valley.
Bayrdyn,Male,(English) barley valley.
Bayron,Male,"(German, English) a form of Baron."
Bazek,Male,"(Greek, Latin) royal, kingly."
Bazel,Male,"(Greek, Latin) royal, kingly."
Bazil,Male,"(Greek, Latin) royal, kingly."
Bazila,Female,"(Greek, Latin) royal; queenly."
Bazilah,Female,"(Greek, Latin) royal; queenly."
Bazile,Female,"(Greek, Latin) royal; queenly."
Bazilie,Female,"(Greek, Latin) royal; queenly."
Bazill,Female,"(Greek, Latin) royal; queenly."
Bazilla,Female,"(Greek, Latin) royal; queenly."
Bazillah,Female,"(Greek, Latin) royal; queenly."
Bazille,Female,"(Greek, Latin) royal; queenly."
Bazillia,Female,"(Greek, Latin) royal; queenly."
Bazilliah,Female,"(Greek, Latin) royal; queenly."
Bazillie,Female,"(Greek, Latin) royal; queenly."
Bazyla,Female,"(Greek, Latin) royal; queenly."
Bazylah,Female,"(Greek, Latin) royal; queenly."
Bazyle,Female,"(Greek, Latin) royal; queenly."
Bazyli,Male,"(Greek, Latin) royal, kingly."
Bazyll,Female,"(Greek, Latin) royal; queenly."
Bazylla,Female,"(Greek, Latin) royal; queenly."
Bazyllah,Female,"(Greek, Latin) royal; queenly."
Bazylle,Female,"(Greek, Latin) royal; queenly."
BeBe,Female,(Latin) a short form of Bibiana.
Bea,Female,(American) a short form of Beatrice.
Beacan,Male,(Irish) small.
Beacen,,
Beach,Male,(English) beech trees.
Beacher,Male,(English) beech trees.
Beachy,Male,(English) beech trees.
Beagan,Male,(Irish) small.
Beagen,Male,(Irish) small.
Beagin,Male,(Irish) small.
Beajae,Male,(American) a combination of Beau + Jay.
Beajai,Male,(American) a combination of Beau + Jay.
Beajay,Male,(American) a combination of Beau + Jay.
Beal,Male,(French) a form of Beau.
Bealdwine,Male,(German) bold friend.
Beale,Male,(French) a form of Beau.
Beall,Male,(French) a form of Beau.
Bealle,Male,(French) a form of Beau.
Beals,Male,(French) a form of Beau.
Beaman,Male,(English) beekeeper.
Beamann,Male,(English) beekeeper.
Beamen,Male,(English) beekeeper.
Beamer,Male,(English) trumpet player.
Bear,Male,(German) brave as a bear.
Bearl,Male,(German) a form of Burl.
Bearle,Male,(German) a form of Burl.
Bearnard,Male,(German) brave as a bear.
Beaslea,Male,(English) field of peas.
Beaslee,Male,(English) field of peas.
Beasleigh,Male,(English) field of peas.
Beasley,Male,(English) field of peas.
Beasli,Male,(English) field of peas.
Beaslie,Male,(English) field of peas.
Beasly,Male,(English) field of peas.
Beata,Female,(Latin) a short form of Beatrice.
Beatah,Female,(Latin) a short form of Beatrice.
Beatie,Male,(Latin) blessed; happy; bringer of joy.
Beatrica,,
Beatrice,Female,(Latin) blessed; happy; bringer of joy.
Beatricia,,
Beatriks,,
Beatris,Female,(Latin) forms of Beatrice.
Beatrisa,,
Beatrise,,
Beatriss,Female,(Latin) forms of Beatrice.
Beatrissa,,
Beatrix,,
Beatriz,Female,(Latin) forms of Beatrice.
Beatryx,,
Beatryz,Female,(Latin) forms of Beatrice.
Beatta,Female,(Latin) a short form of Beatrice.
Beatti,Male,(Latin) blessed; happy; bringer of joy.
Beattie,Male,(Latin) blessed; happy; bringer of joy.
Beatty,Both,(Latin) blessed; happy; bringer of joy.
Beaty,Male,(Latin) blessed; happy; bringer of joy.
Beau,Male,(French) handsome.
Beaufort,Male,(French) beautiful fort.
Beaumont,Male,(French) beautiful mountain.
Beauregard,Male,(French) handsome; beautiful; well regarded.
Beaureguard,Male,(French) handsome; beautiful; well regarded.
Beauvais,Male,"(French) from Beauvais, France; bull."
Beaux,Male,(French) handsome.
Beav,Male,(English) beaver.
Beavan,Male,(Welsh) son of Evan.
Beaven,Male,(Welsh) son of Evan.
Beaver,Male,(English) beaver.
Beavin,Male,(Welsh) son of Evan.
Beavis,Male,"(French) from Beauvais, France; bull."
Beavo,Male,(English) beaver.
Beavys,Male,"(French) from Beauvais, France; bull."
Bebba,Male,(German) a boy.
Bebe,Both,"(Spanish) a form of Barbara, Beatrice."
Bebea,Female,(American) baby.
Bebee,Female,(American) baby.
Bebey,Female,(American) baby.
Bebi,Female,(American) baby.
Bebia,Female,(American) baby.
Bebie,Female,(American) baby.
Beby,Female,(American) baby.
Beca,Female,(Hebrew) a short form of Rebecca.
Becah,Female,(Hebrew) a short form of Rebecca.
Becan,,
Becca,Female,(Hebrew) a short form of Rebecca.
Beccah,Female,(Hebrew) a short form of Rebecca.
Becen,,
Bechir,Male,"(Turkish) intelligent, discerning."
Becin,,
Beck,Male,"(English, Scandinavian) brook."
Becka,Female,(Hebrew) a form of Becca.
Beckey,Female,(American) a familiar form of Rebecca.
Beckham,Male,(English) from the Beck home.
Becki,Female,(American) a familiar form of Rebecca.
Beckie,Female,(American) a familiar form of Rebecca.
Becky,Female,(American) a familiar form of Rebecca.
Becon,,
Becyn,,
Beda,Male,(Teutonic) he who orders and provides for.
Bede,Male,(English) prayer.
Bedeelia,Female,(Irish) a form of Bridget.
Bedelia,Female,(Irish) a form of Bridget.
Bedeliah,Female,(Irish) a form of Bridget.
Bedelya,Female,(Irish) a form of Bridget.
Bedelyah,Female,(Irish) a form of Bridget.
Bedir,Male,(Turkish) full moon.
Bedire,Male,(Turkish) full moon.
Bedyr,Male,(Turkish) full moon.
Bedyre,Male,(Turkish) full moon.
Bee,Both,(American) a short form of Beatrice.
Beebee,Both,"(Spanish) a form of Barbara, Beatrice."
Beech,Male,(English) beech trees.
Beecher,Male,(English) beech trees.
Beechy,Male,(English) beech trees.
Beegan,Male,(Irish) small.
Beejae,Male,(American) a combination of Beau + Jay.
Beejai,Male,(American) a combination of Beau + Jay.
Beejay,Male,(American) a combination of Beau + Jay.
Beejaye,Male,(American) a combination of Beau + Jay.
Beeman,Male,(English) beekeeper.
Beemen,Male,(English) beekeeper.
Beeta,Female,(Latin) a short form of Beatrice.
Beetah,Female,(Latin) a short form of Beatrice.
Beethoven,Male,(German) Music: Ludwig van Beethoven was a German musical genius.
Beeti,Male,(Latin) blessed; happy; bringer of joy.
Beetie,Male,(Latin) blessed; happy; bringer of joy.
Beety,Male,(Latin) blessed; happy; bringer of joy.
Beever,Male,(English) beaver.
Bega,Female,(Germanic) illustrious; brilliant.
Begonia,Female,(Spanish) begonia.
Behn,Male,(Hebrew) a short form of Benjamin.
Behnjamin,Male,(Hebrew) Benjamin
Beil,Male,(French) a form of Beau.
Beill,Male,(French) a form of Beau.
Beille,Male,(French) a form of Beau.
Beinvenido,Male,(Spanish) welcome.
Beirne,Male,(English) brook.
Beita,Female,(Latin) a short form of Beatrice.
Beitah,Female,(Latin) a short form of Beatrice.
Beitris,Female,(Latin) blessed; happy; bringer of joy.
Bejamin,Male,(Hebrew) Benjamin
Bejay,Male,(American) a combination of Beau + Jay.
Beka,Female,(Hebrew) a short form of Rebecca.
Bekah,Female,(Hebrew) a short form of Rebecca.
Beki,Female,(American) a familiar form of Rebecca.
Bekie,Female,(American) a familiar form of Rebecca.
Bekka,Female,(Hebrew) a short form of Rebecca.
Beky,Female,(American) a familiar form of Rebecca.
Bel,Female,(Hindi) sacred wood of apple trees.
Bela,Both,(Czech) white.
Belaal,Male,"(Czech, Hungarian) a form of Bela."
Belah,Both,(Czech) white.
Belal,Male,"(Czech, Hungarian) a form of Bela."
Belall,Male,"(Czech, Hungarian) a form of Bela."
Belami,Male,(French) beautiful friend.
Belamie,Male,(French) beautiful friend.
Belamy,Male,(French) beautiful friend.
Belanca,Female,(Italian) a form of Bianca.
Belancah,Female,(Italian) a form of Bianca.
Belancka,Female,(Italian) a form of Bianca.
Belanckah,Female,(Italian) a form of Bianca.
Belanka,Female,(Italian) a form of Bianca.
Belankah,Female,(Italian) a form of Bianca.
Belarmina,Female,(Spanish) beautiful armor.
Belarmino,Male,(Germanic) having beautiful armor.
Belau,Both,(Czech) white.
Belay,,
Beldan,Male,"(French, English) pretty valley."
Belden,Male,"(French, English) pretty valley."
Beldin,Male,"(French, English) pretty valley."
Beldon,Male,"(French, English) pretty valley."
Beldyn,Male,"(French, English) pretty valley."
Belee,Male,(Welsh) white.
Beley,Male,(Welsh) white.
Beli,Male,(Welsh) white.
Belia,Both,(Czech) white.
